id,Case Number,Date,Year,Type,Country,Area,Location,Fatal,original_order,Latitude,Longitude
3263,2008.07.30.R,30--Jul--08,2008,Unprovoked,AUSTRALIA,Victoria,Levys Beach,N,5081,-38.3746187,142.434494
3264,2008.05.10,10--May--08,2008,Unprovoked,AUSTRALIA,Western Australia,Albany,N,5045,-35.0247822,117.883608
3265,2008.04.20.a,20--Apr--08,2008,Unprovoked,AUSTRALIA,New South Wales,Crescent Head,UNKNOWN,5034,-31.21412885,152.9193912517
3266,2008.04.17,17--Apr--08,2008,Invalid,AUSTRALIA,Queensland,"Duranbah, Greenmount Beach",NULL,5031,-28.02476688,153.42955084
3267,2008.04.08,08--Apr--08,2008,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Ballina",Y,5026,-28.8715325,153.5904133708
3268,2008.02.07,07--Feb--08,2008,Unprovoked,AUSTRALIA,New South Wales,Horseshoe Bay,N,5014,-30.88312835,153.040037149
3269,2008.01.27,27--Jan--08,2008,Provoked,AUSTRALIA,Queensland,200 km east of Coolangatta  ,N,5010,-37.8085882,144.97060435
3270,2007.12.18,18--Dec--07,2007,Unprovoked,AUSTRALIA,New South Wales,Jimmy's Beach,N,5002,-32.6782155,152.177775002
3271,2007.12.15,15--Dec--07,2007,Unprovoked,AUSTRALIA,Queensland,South Stradbroke Island,N,5001,-27.8357175,153.4192647873
3272,2007.12.14,14--Dec--07,2007,Invalid,AUSTRALIA,New South Wales,Bondi ,NULL,5000,-33.8930556,151.2633333
3273,2007.11.18,18--Nov--07,2007,Provoked,AUSTRALIA,Western Australia,In a tidal creek    5 km from Wickham,N,4996,-31.94967961,115.86193337
3274,2007.11.08,08--Nov--07,2007,Unprovoked,AUSTRALIA,New South Wales,"Wategos Beach, Byon Bay",N,4995,-28.65708316,153.62029064
3275,2007.10.15,15--Oct--07,2007,Unprovoked,AUSTRALIA,New South Wales,Byron Bay,N,4988,-28.6483333,153.6177778
3276,2007.10.13,13--Oct--07,2007,Unprovoked,AUSTRALIA,Queensland,Holmes Reef,N,4987,-34.98310827,138.54093221
3277,2007.07.19.a,19--Jul--2007.a,2007,Unprovoked,AUSTRALIA,Territory of Cocos (Keeling) Islands,Direction Island,N,4946,-12.09072165,96.886018863
3278,2007.06.05,05--Jun--07,2007,Unprovoked,AUSTRALIA,New South Wales,"Shelly Beach, Crescent Head",N,4931,-35.31376452,149.13642861
3279,2007.05.16,16--May--07,2007,Unprovoked,AUSTRALIA,Western Australia,"Warra Beach, Coral Bay",N,4927,-31.94967961,115.86193337
3280,2007.05.12,12--May--07,2007,Unprovoked,AUSTRALIA,Victoria,Warrnambool,N,4926,-38.3826241,142.4814191
3281,2007.05.08,08--May--07,2007,Invalid,AUSTRALIA,New South Wales,Kingscliff Beach,NULL,4923,-28.2545906,153.576145643
3282,2007.04.26,26--Apr--07,2007,Unprovoked,AUSTRALIA,Queensland,"Mornington Island, Gulf of Carpentaria",N,4918,-16.6647531,139.17920751
3283,2007.03.20,20--Mar--07,2007,Unprovoked,AUSTRALIA,New South Wales,South Golden Beach,N,4908,-28.4958914,153.547628
3284,2007.03.12,12--Mar--07,2007,Unprovoked,AUSTRALIA,Queensland,"Moore Park, north of Bundaberg",N,4906,-33.8902539,151.22149026
3285,2007.02.03,03--Feb--07,2007,Unprovoked,AUSTRALIA,New South Wales,Shelly Beach,N,4902,-33.3704686,151.4859294
3286,2007.01.23,23--Jan--07,2007,Unprovoked,AUSTRALIA,New South Wales,Cape Howe,N,4898,-35.31376452,149.13642861
3287,2007.01.19,19--Jan--07,2007,Invalid,AUSTRALIA,New South Wales,Brunswick Heads,NULL,4897,-28.538885,153.5483811
3288,2007.01.09,09--Jan--07,2007,Unprovoked,AUSTRALIA,New South Wales,Sandbar Beach,N,4895,-32.39144925,152.5204819357
3289,2006.12.18,18--Dec--06,2006,Unprovoked,AUSTRALIA,Victoria,"Winki Pop, Bells Beach",N,4892,-38.35764124,144.27532735
3290,2006.12.02,02--Dec--06,2006,Unprovoked,AUSTRALIA,Western Australia,Wharton Beach,N,4888,-31.94967961,115.86193337
3291,2006.09.04,04--Sep--06,2006,Invalid,AUSTRALIA,Queensland,Great Barrier Reef  ,NULL,4871,-16.35,145.9
3292,2006.08.29.a,29--Aug--06,2006,Unprovoked,AUSTRALIA,South Australia,"Pennington Bay, Kangaroo Island",N,4865,-27.73934978,153.40408479
3293,2006.07.17.R,Reported 17--Jul--2006,2006,Invalid,AUSTRALIA,Torres Strait,Western Province,NULL,4848,-10.58325428,142.21634123
3294,2006.06.05,05--Jun--06,2006,Unprovoked,AUSTRALIA,South Australia,Waitpinga,N,4829,-35.59716575,138.5133741519
3295,2006.05.02,02--May--06,2006,Provoked,AUSTRALIA,Queensland,"Moffat Beach, Caloundra",N,4820,-26.7916917,153.1405914
3329,2004.07.19.R," 19--Jul--2004 Reported to have happened  ""on the weekend""",2004,Boating,AUSTRALIA,Western Australia,"7 km off Trigg surf beach, Perth",N,4649,-31.94967961,115.86193337
3330,2004.07.10,10--Jul--04,2004,Unprovoked,AUSTRALIA,Western Australia,"Lefthanders Beach, Margaret River",Y,4647,-33.96637356,115.03510771
3331,2004.06.26.a,26--Jun--04,2004,Invalid,AUSTRALIA,Western Australia,Floreat Beach,NULL,4643,-31.9310469,115.7548327
3332,2004.06.10.b,10--Jun--04,2004,Unprovoked,AUSTRALIA,Western Australia,Bunbury,N,4641,-33.3267797,115.636698
3333,2004.04.26,26--Apr--04,2004,Unprovoked,AUSTRALIA,New South Wales,"Latitude Reef, near Forster",N,4628,-35.31376452,149.13642861
3334,2004.03.06,06--Mar--04,2004,Unprovoked,AUSTRALIA,Western Australia,5 nm off Cervantes,N,4612,-31.94967961,115.86193337
3335,2004.02.21,21--Feb--04,2004,Unprovoked,AUSTRALIA,New South Wales,"Taree, Old Bar Beach",N,4609,-31.96185206,152.5451802
3336,2004.02.16,16--Feb--04,2004,Invalid,AUSTRALIA,Queensland,"Fido's Reef, 300 m east of Cook Island. Cook Island is 2 miles from Tweed Heads, Gold Coast",NULL,4608,-28.18391567,153.5453486
3337,2004.02.11,11--Feb--04,2004,Unprovoked,AUSTRALIA,New South Wales,Caves Beach,N,4606,-33.1122864,151.6449973
3338,2004.01.25,25--Jan--04,2004,Unprovoked,AUSTRALIA,Western Australia,Binningup,N,4605,-33.1491325,115.6972499
3339,2004.01.12,12--Jan--04,2004,Unprovoked,AUSTRALIA,New South Wales,Bushrangers Pass at Bass Point,N,4599,-35.31376452,149.13642861
3340,2004.00.00,2004,2004,Unprovoked,AUSTRALIA,Western Australia,Redgate Beach,N,4595,-34.0391177,114.9988332
3341,2003.12.08,08--Dec--03,2003,Unprovoked,AUSTRALIA,Victoria,Collendina Beach east of Ocean Grove,N,4590,-33.73776431,151.29955253
3342,2003.11.30.b,30--Nov--03,2003,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),N,4589,-31.94967961,115.86193337
3343,2003.11.30.a,30--Nov--03,2003,Unprovoked,AUSTRALIA,Western Australia,Perth? (Margaret River District),N,4588,-31.94967961,115.86193337
3344,2003.11.01,01--Nov--03,2003,Unprovoked,AUSTRALIA,New South Wales,"Seal Rocks, north of Newcastle",N,4581,-37.81571553,144.97003273
3345,2003.10.31.b,31--Oct--03,2003,Unprovoked,AUSTRALIA,New South Wales,"Lighthouse Beach, Seal Rocks",N,4578,-32.4442517,152.5260781599
3346,2003.07.26.R,Reported 26--Jul--2003,2003,Unprovoked,AUSTRALIA,Northern Territory,Nhulunbuy,N,4551,-12.1804346,136.7759913
3347,2003.02.15.b,15--Feb--03,2003,Unprovoked,AUSTRALIA,South Australia,"Goolwa Beach, Fleurieu Peninsula",N,4509,-35.53020504,138.83224905
3348,2003.02.11,11--Feb--03,2003,Unprovoked,AUSTRALIA,New South Wales,"Coogee Bay, near Sydney",N,4507,-33.9216459,151.259628
3349,2003.02.08,08--Feb--03,2003,Unprovoked,AUSTRALIA,Queensland,Burleigh Lake on the Gold Coast,Y,4506,-27.92531079,153.3534544
3350,2003.01.02,02--Jan--03,2003,Unprovoked,AUSTRALIA,Western Australia,Left break at the ‘Hot Spot’ at Sheringa Beach,N,4503,-26.52520242,153.0888653
3351,2002.12.29,29--Dec--02,2002,Unprovoked,AUSTRALIA,Queensland,Great Barrier Reef  (near Upolu Bay),N,4502,-20.28117029,148.69633497
